timestamp,low,high,open,close,volume
2021-05-04,53053.87,56617.7,55608.4,53053.87,253.46247937
2021-05-05,52938.8,57933.11,53042.22,57486.84,269.34123492
2021-05-06,55262.28,58361.4,57496.57,56409.6,468.83760636
2021-05-07,55255.2,58649.79,56429.6,57330.6,456.67921225
2021-05-08,56959.23,59492.81,57353.12,58865.94,348.77001697
2021-05-09,56251.89,59204.23,58865.94,58224.89,493.60263714
2021-05-10,53545.31,59518.7,58259.8,55820.83,885.92251183
2021-05-11,54462.97,56861.91,55800.99,56703.42,680.03768078
2021-05-12,48517.41,57970.0,56703.47,49457.05,905.10678218
2021-05-13,45860.4,51344.23,49442.75,49669.89,1723.27096602
2021-05-14,48846.35,51445.85,49645.48,49859.84,695.4178542
2021-05-15,46566.4,50662.49,49859.84,46689.31,650.03037881
2021-05-16,43570.94,49812.04,46742.27,46408.82,1114.26338828
2021-05-17,41848.11,46583.52,46413.12,43519.78,1922.62256711
2021-05-18,42262.22,45844.47,43695.22,42884.82,1081.88933614
2021-05-19,28907.8,43553.19,42856.22,36655.42,3742.40916439
2021-05-20,34941.5,42448.3,36674.02,40505.44,3353.06470482
2021-05-21,33340.0,42199.99,40502.05,37247.0,4242.67850751
2021-05-22,35225.53,38847.32,37232.61,37446.87,2492.29827641
2021-05-23,31059.58,38262.88,37427.31,34671.11,2474.09816913
2021-05-24,34379.67,40121.6,34674.77,38780.58,2416.90550008
2021-05-25,36443.02,39778.65,38790.15,38352.88,1298.23201349
2021-05-26,37795.47,40824.68,38346.55,39240.15,1371.85187262
2021-05-27,37146.11,40414.04,39226.6,38504.22,963.20499893
2021-05-28,34708.17,38880.13,38528.44,35677.77,2530.79601542
2021-05-29,33592.39,37396.16,35683.74,34618.63,2279.24698965
2021-05-30,33366.63,36487.8,34575.0,35614.21,900.25016705
2021-05-31,34168.59,37503.44,35585.78,37180.65,1789.5232992
2021-06-01,35700.0,37890.97,37126.66,36694.23,1178.43236697
2021-06-02,35924.08,38235.08,36770.91,37568.15,417.79544429
2021-06-03,37187.16,39484.0,37441.85,39244.51,374.10709927
2021-06-04,35575.23,39267.34,39250.33,36881.64,582.8193511
2021-06-05,34832.97,37902.09,36857.56,35561.68,551.89954427
